City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,el gouna,27.3942,33.6782,37.05,24,25,1.83,EG,1713974619
1,lucas,41.6501,-83.6666,7.32,76,100,5.66,US,1713974402
2,port-aux-francais,-49.35,70.2167,4.44,62,77,9.84,TF,1713974620
3,fort mcmurray,56.7268,-111.381,8.77,46,0,6.17,CA,1713974406
4,waitangi,-43.9535,-176.5597,13.95,85,27,4.16,NZ,1713974620
5,kirakira,-10.4544,161.9205,27.24,88,100,1.14,SB,1713974620
6,kusa,55.3383,59.4406,2.54,75,100,5.2,RU,1713974620
7,constantia,44.1833,28.65,19.38,65,100,4.35,RO,1713974367
8,bethel,41.3712,-73.414,19.53,50,80,1.34,US,1713974470
9,ushuaia,-54.8,-68.3,8.81,71,20,1.03,AR,1713974459
10,college,64.8569,-147.8028,3.94,73,15,1.76,US,1713974621
11,fale old settlement,-9.3852,-171.2468,29.36,76,14,4.5,TK,1713974621
12,margaret river,-33.95,115.0667,14.68,62,100,5.92,AU,1713974621
13,chonchi,-42.6128,-73.8092,9.51,97,100,2.95,CL,1713974570
14,edinburgh of the seven seas,-37.0676,-12.3116,15.8,60,4,2.44,SH,1713974621
15,west island,-12.1568,96.8225,27.99,78,40,5.66,CC,1713974621
16,puerto armuelles,8.2833,-82.8667,32.99,72,100,1.79,PA,1713974622
17,san matias,-16.3667,-58.4,35.87,37,7,2.01,BO,1713974622
18,whitehorse,60.7161,-135.0538,3.39,86,20,0.0,CA,1713974622
19,dzilam gonzalez,21.2833,-88.9333,33.31,41,0,2.0,MX,1713974622
20,adamstown,-25.066,-130.1015,23.07,86,26,9.13,PN,1713974622
21,san carlos de bariloche,-41.1456,-71.3082,6.86,65,40,1.03,AR,1713974551
22,port hedland,-20.3167,118.5667,26.03,44,100,2.57,AU,1713974623
23,bredasdorp,-34.5322,20.0403,19.01,70,40,2.93,ZA,1713974623
24,grytviken,-54.2811,-36.5092,-1.48,78,54,6.99,GS,1713974623
25,roma,43.2128,-75.4557,11.08,76,100,5.66,US,1713974547
26,tiksi,71.6872,128.8694,-13.17,93,99,4.17,RU,1713974623
27,fort stockton,30.894,-102.8793,29.31,30,2,4.87,US,1713974623
28,albany,42.6001,-73.9662,15.23,78,84,4.85,US,1713974560
29,dudinka,69.4058,86.1778,-7.4,89,71,4.92,RU,1713974606
30,tura,25.5198,90.2201,27.35,20,1,1.86,IN,1713974624
31,todos santos,23.45,-110.2167,31.84,42,97,4.07,MX,1713974624
32,ndele,8.4109,20.6473,38.68,17,65,0.66,CF,1713974624
33,touros,-5.1989,-35.4608,30.82,64,30,5.83,BR,1713974624
34,stanley,54.868,-1.6985,7.77,60,75,4.63,GB,1713974540
35,tobelo,1.7284,128.0095,28.05,83,49,3.75,ID,1713974625
36,ancud,-41.8697,-73.8203,9.28,95,100,9.08,CL,1713974409
37,iskateley,67.6803,53.1512,-6.66,82,7,5.81,RU,1713974625
38,new plymouth,-39.0667,174.0833,13.78,73,100,4.49,NZ,1713974625
39,glace bay,46.1969,-59.957,3.36,96,100,6.17,CA,1713974625
40,papatowai,-46.5619,169.4708,10.42,81,100,2.98,NZ,1713974625
41,bandiagara,14.3501,-3.6104,42.83,9,5,1.82,ML,1713974626
42,aasiaat,68.7098,-52.8699,-0.26,97,100,6.12,GL,1713974626
43,badger,64.8,-147.5333,3.89,69,14,0.45,US,1713974626
44,weno,7.4515,151.8468,28.41,83,92,7.73,FM,1713974626
45,berezovyy,51.6667,135.7,8.24,77,44,2.62,RU,1713974626
46,noumea,-22.2763,166.4572,24.44,99,100,2.68,NC,1713974585
47,blackmans bay,-43.0167,147.3167,10.07,70,100,1.79,AU,1713974599
48,port mathurin,-19.6833,63.4167,26.92,76,66,7.99,MU,1713974627
49,hawaiian paradise park,19.5933,-154.9731,19.46,94,57,1.9,US,1713974627
50,san antonio de pale,-1.4014,5.6325,28.87,78,100,4.07,GQ,1713974442
51,el granada,37.5027,-122.4694,15.46,69,100,4.12,US,1713974627
52,luga,58.7372,29.8453,6.47,67,99,2.69,RU,1713974627
53,namtsy,62.7161,129.6658,-5.68,87,100,5.79,RU,1713974627
54,avarua,-21.2078,-159.775,23.03,83,100,1.03,CK,1713974627
55,utrik,11.2278,169.8474,27.34,78,100,8.96,MH,1713974628
56,foso,5.7012,-1.2866,33.16,49,79,2.98,GH,1713974628
57,st. john's,47.5649,-52.7093,4.82,96,100,9.26,CA,1713974351
58,savanna-la-mar,18.219,-78.1332,30.52,40,5,1.52,JM,1713974628
59,coahuayana de hidalgo,18.7,-103.6583,31.66,26,6,2.13,MX,1713974628
60,tolanaro,-25.0319,46.9987,25.04,83,40,6.17,MG,1713974628
61,vorgashor,67.5833,63.95,-11.22,94,10,1.99,RU,1713974629
62,qamdo,31.1667,97.2333,2.4,68,100,0.34,CN,1713974629
63,thompson,55.7435,-97.8558,1.09,37,40,2.06,CA,1713974616
64,vredendal,-31.6683,18.5012,19.27,68,0,6.09,ZA,1713974629
65,kenai,60.5544,-151.2583,3.94,80,92,0.15,US,1713974629
66,albert,50.0009,2.651,8.37,69,75,7.72,FR,1713974629
67,umred,20.85,79.3333,31.16,37,47,0.6,IN,1713974629
68,puerto natales,-51.7236,-72.4875,5.25,100,100,1.54,CL,1713974552
69,polyarnyy,69.1989,33.4478,0.94,95,100,6.64,RU,1713974630
70,dryden,49.7833,-92.7503,3.16,52,0,2.57,CA,1713974630
71,alo,7.4178,6.7371,39.17,31,100,4.27,NG,1713974630
72,barra do bugres,-15.0725,-57.1811,33.38,52,34,1.48,BR,1713974557
73,lompoc,34.6391,-120.4579,14.36,65,100,2.06,US,1713974506
74,iqaluit,63.7506,-68.5145,-5.15,80,100,7.72,CA,1713974415
75,gargalianoi,37.0667,21.6333,19.64,63,66,4.73,GR,1713974631
76,timbiqui,2.7717,-77.6654,28.59,75,100,1.4,CO,1713974631
77,remire-montjoly,4.9167,-52.2667,31.02,66,40,6.17,GF,1713974631
78,ribeira grande,38.5167,-28.7,19.22,63,20,7.72,PT,1713974631
79,sitia,35.2,26.0986,21.66,64,100,3.43,GR,1713974631
80,alofi,-19.0595,-169.9187,22.94,100,75,3.09,NU,1713974632
81,sisimiut,66.9395,-53.6735,0.91,99,100,4.19,GL,1713974632
82,puerto madryn,-42.7692,-65.0385,15.54,33,48,12.69,AR,1713974404
83,ust-nera,64.5667,143.2,0.43,97,100,2.46,RU,1713974632
84,colonia,50.9333,6.95,9.69,75,20,8.23,DE,1713974630
85,homer,59.6425,-151.5483,5.02,89,94,2.24,US,1713974633
86,bandarban,22.1965,92.2262,29.84,77,8,1.03,BD,1713974430
87,raufoss,60.7264,10.6172,5.48,46,100,3.18,NO,1713974633
88,livingston,55.9029,-3.5226,11.78,45,0,2.06,GB,1713974526
89,sitka,57.0531,-135.33,6.92,88,100,0.69,US,1713974633
90,queenstown,-31.8976,26.8753,17.52,33,100,1.97,ZA,1713974633
91,inhambane,-23.865,35.3833,24.42,77,10,3.05,MZ,1713974472
92,mount pearl,47.5166,-52.7813,4.36,96,100,9.26,CA,1713974389
93,tanah merah,5.8,102.15,29.92,97,77,0.65,MY,1713974634
94,invercargill,-46.4,168.35,14.45,56,100,4.02,NZ,1713974634
95,tanout,14.9709,8.8879,41.76,7,58,2.23,NE,1713974634
96,sao vicente,-23.9631,-46.3919,34.59,40,0,2.68,BR,1713974634
97,cooranbong,-33.0833,151.4333,19.21,74,100,2.45,AU,1713974634
98,sao felix do xingu,-6.6447,-51.995,27.56,87,100,0.52,BR,1713974635
99,kingston,17.997,-76.7936,33.42,70,20,3.09,JM,1713974410
100,dabhol,17.6,73.1667,26.99,83,0,2.73,IN,1713974635
101,imbituba,-28.24,-48.6703,24.92,91,32,6.16,BR,1713974635
102,kodiak,57.79,-152.4072,3.73,100,100,2.57,US,1713974635
103,andergrove,-21.0833,149.1833,21.38,84,3,3.66,AU,1713974635
104,yuzhno-kurilsk,44.0306,145.8556,5.76,82,100,6.52,RU,1713974636
105,talnakh,69.4865,88.3972,-7.66,94,78,0.68,RU,1713974636
106,las tablas,7.7667,-80.2833,30.65,99,100,7.51,PA,1713974636
107,zhezqazghan,47.7833,67.7667,12.32,76,40,5.0,KZ,1713974636
108,mar del plata,-38.0023,-57.5575,15.85,71,40,4.47,AR,1713974269
109,sao joao da barra,-21.6403,-41.0511,33.05,76,3,3.54,BR,1713974575
110,wailua homesteads,22.0669,-159.378,22.24,91,100,5.14,US,1713974637
111,salalah,17.0151,54.0924,28.54,71,0,3.41,OM,1713974637
112,casablanca,33.5928,-7.6192,24.12,64,75,4.12,MA,1713974408
113,bilibino,68.0546,166.4372,-25.66,99,62,2.26,RU,1713974637
114,georgetown,5.4112,100.3354,28.96,87,20,2.24,MY,1713974417
115,geraldton,-28.7667,114.6,22.23,33,99,6.69,AU,1713974637
116,at taj,24.2049,23.2857,34.63,14,95,5.91,LY,1713974638
117,kone,-21.0595,164.8658,21.32,97,99,0.8,NC,1713974638
118,champerico,14.3,-91.9167,33.3,69,70,3.51,GT,1713974638
119,rio grande,-32.035,-52.0986,20.06,44,2,6.7,BR,1713974638
120,jaranwala,31.3333,73.4333,29.06,20,0,3.2,PK,1713974410
121,borkum,53.5809,6.6915,8.85,68,39,9.22,DE,1713974638
122,malango,-2.9627,119.9001,20.62,100,100,0.7,ID,1713974638
123,auki,-8.7676,160.7034,25.9,90,100,1.68,SB,1713974639
124,carlinville,39.2798,-89.8818,17.55,64,0,4.08,US,1713974639
125,qaryat suluq,31.6682,20.2521,22.97,29,100,5.98,LY,1713974639
126,santa isabel,-23.3156,-46.2214,29.61,40,14,3.59,BR,1713974639
127,nagqu,31.5,92.0,-0.98,75,92,3.74,CN,1713974639
128,quartu sant'elena,39.2419,9.1839,14.95,45,40,9.26,IT,1713974639
129,opuwo,-18.0607,13.84,31.33,11,23,4.32,NA,1713974639
130,loano,44.133,8.2513,16.02,48,59,7.15,IT,1713974640
131,barra de santo antonio,-9.4047,-35.5072,31.6,68,87,3.09,BR,1713974640
132,dampit,-8.2116,112.7493,23.74,99,100,0.68,ID,1713974640
133,arklow,52.7931,-6.1414,9.49,79,99,1.31,IE,1713974640
134,meizhou,24.2977,116.1072,23.09,97,47,0.98,CN,1713974640
135,isafjordur,66.0755,-23.124,7.02,76,100,1.03,IS,1713974640
136,vorkuta,67.5,64.0,-11.05,94,11,1.79,RU,1713974640
137,carrizo springs,28.5219,-99.8606,25.34,83,100,2.57,US,1713974424
138,isabela,6.7085,121.9711,28.03,85,100,0.84,PH,1713974641
139,westport,41.1415,-73.3579,20.23,55,0,5.14,US,1713974590
140,el calafate,-50.3408,-72.2768,4.86,67,99,1.02,AR,1713974641
141,hermanus,-34.4187,19.2345,18.22,85,29,0.68,ZA,1713974641
142,luderitz,-26.6481,15.1594,19.56,67,8,7.61,NA,1713974641
143,tsiombe,-25.3,45.4833,21.33,86,52,4.78,MG,1713974641
144,santa cruz,-17.8,-63.1667,29.7,74,75,7.72,BO,1713974631
145,hengchun,22.0042,120.7439,24.74,81,98,7.16,TW,1713974642
146,tazacorte,28.629,-17.9293,23.97,60,0,4.12,ES,1713974642
147,okhotsk,59.3833,143.3,-2.15,94,90,0.61,RU,1713974642
148,qaqortoq,60.7167,-46.0333,0.5,94,78,1.95,GL,1713974642
149,bardai,11.65,7.2333,40.45,14,81,4.15,NG,1713974642
150,enewetak,11.3474,162.3373,27.6,80,98,8.73,MH,1713974643
151,saipan,15.1355,145.701,27.85,68,38,6.9,MP,1713974643
152,lae,-6.7221,146.9847,23.87,86,67,2.37,PG,1713974643
153,lebu,-37.6167,-73.65,13.98,65,99,7.03,CL,1713974643
154,nevesinje,43.2586,18.1133,9.48,89,98,2.25,BA,1713974643
